text,song
"NINE MONTHS after expressing deep disappointment over how he had been treated in the BJP, influential Lingayat leader and former Karnataka Chief Minister Jagadish Shettar left the Congress to return to the BJP on Thursday.","(Verse 1)
Aaya Shettar, chhoda Congress ka ghar,
Nine months ke baad, BJP mein hai bahaar.
Lingayat leader, powerful sardar,
Karnataka ke CM, fir se tayyar.

(Chorus)
Jagadish Shettar, BJP ka sitara,
Dil se juda tha, lekin ab wapas aaya.
Congress mein dukh, BJP mein pyaara,
Lingayat leader, sabko chhaya bhaari bhaari.

(Verse 2)
Deep disappointment, BJP se door gaya tha,
Magar ab laut ke aaya, dil se majboor tha.
Congress mein nahi, wahan dil tha bekaraar,
BJP mein aake, Shettar hai sabse pyaara.

(Chorus)
Jagadish Shettar, BJP ka sitara,
Dil se juda tha, lekin ab wapas aaya.
Congress mein dukh, BJP mein pyaara,
Lingayat leader, sabko chhaya bhaari bhaari.

(Bridge)
Nine months ka safar, tha lamba aur kathin,
Dil se juda tha, par ab hai khushiyon ka silsila.
BJP mein waapas, hai yeh faisla,
Jagadish Shettar, hai raaj dil se dil tak.

(Chorus)
Jagadish Shettar, BJP ka sitara,
Dil se juda tha, lekin ab wapas aaya.
Congress mein dukh, BJP mein pyaara,
Lingayat leader, sabko chhaya bhaari bhaari."
"Continuing his standoff with the CPI(M)-led state government, Kerala Governor Arif Mohammed Khan Thursday cut short his policy address to the Budget Session of the Assembly, wrapping up in less than two minutes.","(Verse 1)
Arif Khan, Kerala ke Governor,
CPI(M) se takraar, chhodo na sarkaar.
Policy address tha, lekin kya kahoon,
Two minutes mein, khatam ho gaya soon.

(Chorus)
Arif Khan, stand-off mein hain bahaar,
Assembly mein aaye, lekin jaldi se pyaara.
CPI(M) ki sarkaar, lekin clash hai yaar,
Kerala mein chhaya hai political bazaar.

(Verse 2)
Budget session tha, lekin kuch nahi hua,
Governor ka style, tha alag zaroor.
Less than two minutes, khatam ho gaya sab,
Standoff mein hai, yeh hai ek naya dab.

(Chorus)
Arif Khan, stand-off mein hain bahaar,
Assembly mein aaye, lekin jaldi se pyaara.
CPI(M) ki sarkaar, lekin clash hai yaar,
Kerala mein chhaya hai political bazaar.

(Bridge)
Takraar ka mahaul, hai garam yahaan,
Governor ka statement, hai strong bahaan.
Policy address, tha chhota sa raaz,
Kerala mein hai charcha, hai yeh ek saaz.

(Chorus)
Arif Khan, stand-off mein hain bahaar,
Assembly mein aaye, lekin jaldi se pyaara.
CPI(M) ki sarkaar, lekin clash hai yaar,
Kerala mein chhaya hai political bazaar."
A television reporter of a popular Tamil news channel was waylaid and attacked with weapons by a gang of six unidentified men near Palladam in Tamil Nadu s Tiruppur district on Wednesday.,"(Verse 1)
Tamil Nadu ki zameen, Palladam ke kareeb,
Tamil news reporter, jo hai bohot tez.
Television channel se, woh hai famous,
Par aaj aaya hai, khatra bhari raat.

(Chorus)
Gang of six, chhupa chehre anjaane,
Attack kiya reporter ko, Tiruppur ki raahon mein.
Weapons lekar aaye, kya hai inka iraada,
Tamil Nadu mein, hai shor yeh saara.

(Verse 2)
Tiruppur district mein, hui yeh ghatna,
Reporter waylaid, attack ka hai chakkar.
Popular channel ka, woh tha anchor,
Par anjaanon ne, kiya yeh shor.

(Chorus)
Gang of six, chhupa chehre anjaane,
Attack kiya reporter ko, Tiruppur ki raahon mein.
Weapons lekar aaye, kya hai inka iraada,
Tamil Nadu mein, hai shor yeh saara.

(Bridge)
Kyun kiya yeh hamla, kyun hai yeh atyachaar,
News reporter ko kyun hai inka intezaar.
Sachai ko dikhane, tha woh taiyaar,
Par anjaanon ne, tod diya uska pyaar.

(Chorus)
Gang of six, chhupa chehre anjaane,
Attack kiya reporter ko, Tiruppur ki raahon mein.
Weapons lekar aaye, kya hai inka iraada,
Tamil Nadu mein, hai shor yeh saara.

"
"Two things prevent  Fighter  from being a total humdinger: excessive jingoism and schmaltz. This drama-in-the-sky, part  Top Gun , part  Uri , and part other Siddharth Anand films, has enough well-executed action set pieces, filled with several effective flourishes from its lead actors, to have coasted through. Why didn t the film have enough confidence in its USP: the brave boys, and girls, looping those loops?","(Verse 1)
""Fighter"" in the sky, ek dum damakedar kahani,
Jingoism aur schmaltz, thoda zyada hai,ani.
'Top Gun' ka tadka, 'Uri' ka jazba,
Action-packed scenes, lead actors ka magic chhaya.

(Chorus)
Brave boys aur girls, looping those loops,
Film ka USP hai, dikhate daring troops.
Confidence kam tha, apne kahani mein,
Par ""Fighter"" uda, apne cinematic scene.

(Verse 2)
Jingoism ki overflow, jaise badal hai aasman mein,
Schmaltzy moments, aankhon mein hai aansu ke rimjhim.
Drama unfold hota hai, Siddharth ki style mein,
Action bhari sequences, ek nayi misal hai yeh.

(Chorus)
Brave boys aur girls, looping those loops,
Film ka USP hai, dikhate daring troops.
Confidence kam tha, apne kahani mein,
Par ""Fighter"" uda, apne cinematic scene.

(Bridge)
Top Gun ka vibe, Uri ka jazba,
Siddharth Anand ka touch, hai sab pe bhari.
Well-executed scenes, ek visual delight,
Par thoda zyada drama, le leta hai flight.

(Chorus)
Brave boys aur girls, looping those loops,
Film ka USP hai, dikhate daring troops.
Confidence kam tha, apne kahani mein,
Par ""Fighter"" uda, apne cinematic scene.

"
"In his virtual address to around 30 lakh first-time voters from across the country, Prime Minister Narendra Modi Thursday touched upon a wide range of talking points for the 2024 Lok Sabha elections, trying to frame the same in a language that spoke to the youth. He also promised to physically meet those among them whose suggestions for the BJP manifesto were accepted by the party.","(Verse 1)
Virtual address mein, PM Modi ne bola,
30 lakh first-time voters, sabka dil bhala.
Across the country se, ek connection banaaya,
2024 Lok Sabha, youth ki zubaani sunaaya.

(Chorus)
Narendra Modi, youth ko samajhne ka hai andaaz,
2024 ki taiyaari, lekar aaye saath.
Sankalp diya, manifesto mein suggestions ki baat,
Physical meeting ki promise, hai woh ek saath.

(Verse 2)
Talking points bune, har kona se,
2024 elections, youth ke liye kuch khaas.
Language jo hai, youth-friendly,
Modi ne diya wada, hai wo forever young.

(Chorus)
Narendra Modi, youth ko samajhne ka hai andaaz,
2024 ki taiyaari, lekar aaye saath.
Sankalp diya, manifesto mein suggestions ki baat,
Physical meeting ki promise, hai woh ek saath.

(Bridge)
Suggestions accept honge, BJP se milenge,
Youth ka power, hai woh sabse bada range.
Manifesto mein rang bhar denge, ek nayi soch,
Modi ka commitment, hai woh khaas.

(Chorus)
Narendra Modi, youth ko samajhne ka hai andaaz,
2024 ki taiyaari, lekar aaye saath.
Sankalp diya, manifesto mein suggestions ki baat,
Physical meeting ki promise, hai woh ek saath."
Pimpri-Chinchwad police have busted a racket of illegally refilling domestic liquefied petroleum gas (LPG) into commercial cylinders at a godown in Chikhali area on Tuesday evening.,"(Verse 1)
Pimpri-Chinchwad police ne kiya kaam bada,
Racket bust kiya, illegal game ka parda.
Chikhali area mein, ek godown ka scene,
Tuesday evening mein, hui raid ka dream.

(Chorus)
Illegally refilling, LPG ka chakkar,
Domestic cylinders mein, commercial ka shor.
Police ne kiya, action ka jor,
Chikhali mein, hua racket ka ant.

(Verse 2)
Godown mein chhupa, yeh kala dhanda,
LPG ki tankiyo se, bhara hai andaaz.
Police ne pakda, criminals ka group,
Illegal refilling, tha yeh unka scoop.

(Chorus)
Illegally refilling, LPG ka chakkar,
Domestic cylinders mein, commercial ka shor.
Police ne kiya, action ka jor,
Chikhali mein, hua racket ka ant.

(Bridge)
Raat ko chhupa, clandestine operation,
Commercial cylinders, bhara illegal sensation.
Pimpri-Chinchwad mein, hawa tight,
Police ne kiya, unka fight.

(Chorus)
Illegally refilling, LPG ka chakkar,
Domestic cylinders mein, commercial ka shor.
Police ne kiya, action ka jor,
Chikhali mein, hua racket ka ant."
"The Supreme Court on Thursday asked the Tamil Nadu government not to proceed with further investigation into the FIR against Enforcement Directorate (ED) official Ankit Tiwari, who was arrested by the state Directorate of Vigilance and Anti-Corruption (DVAC) on bribery charges","(Verse 1)
Supreme Court ne bola, Tamil Nadu sarkar ko,
Ankit Tiwari ke khilaaf FIR ruko.
Enforcement Directorate ka, yeh official hai,
DVAC ne pakda, bribery charges mein hai.

(Chorus)
Supreme Court ka faisla, rok do investigation,
Ankit Tiwari ka case, hai yeh sensation.
Bribery charges pe, hai yeh discussion,
Tamil Nadu government, Supreme Court ki instruction.

(Verse 2)
Ankit Tiwari, ED ke official,
DVAC ne arrest kiya, kyun ki charges hai crucial.
Supreme Court ne aaya, ek intervention,
Investigation roko, yeh hai unka decision.

(Chorus)
Supreme Court ka faisla, rok do investigation,
Ankit Tiwari ka case, hai yeh sensation.
Bribery charges pe, hai yeh discussion,
Tamil Nadu government, Supreme Court ki instruction.

(Bridge)
Legal proceedings mein, hai yeh twist,
Ankit Tiwari ka naam, hai ab list.
Supreme Court ki order, hai ab clear,
Investigation ruko, yeh hai unka steer.

(Chorus)
Supreme Court ka faisla, rok do investigation,
Ankit Tiwari ka case, hai yeh sensation.
Bribery charges pe, hai yeh discussion,
Tamil Nadu government, Supreme Court ki instruction."
"Former foreign secretary Harsh Vardhan Shringla, 61, has been reaching out to people across the Darjeeling belt in West Bengal for the past several months, holding various programmes under the aegis of his NGO Darjeeling Welfare Society, which he had floated in May 2023.","(Verse 1)
Harsh Vardhan Shringla, former secretary tha,
Darjeeling belt mein, kar rahe outreach wahaan.
West Bengal mein, dikhaye apna pyaar,
Darjeeling Welfare Society, uska bright sitara.

(Chorus)
61 ke hain, magar jazba hai young,
NGO ke through, connect karta hai sung.
Reaching out to people, holding programs so strong,
Harsh Vardhan Shringla, hai woh ek dawn.

(Verse 2)
Several months se, hai active yahaan,
Darjeeling Welfare Society, uska ek plan.
Programs ki variety, under his wing,
People connect karte, unke saath swing.

(Chorus)
61 ke hain, magar jazba hai young,
NGO ke through, connect karta hai sung.
Reaching out to people, holding programs so strong,
Harsh Vardhan Shringla, hai woh ek dawn.

(Bridge)
May 2023 mein, NGO ka inception,
Darjeeling Welfare Society, hai ek connection.
Harsh Vardhan Shringla, with a vision so clear,
Darjeeling ke logon se hai woh near.

(Chorus)
61 ke hain, magar jazba hai young,
NGO ke through, connect karta hai sung.
Reaching out to people, holding programs so strong,
Harsh Vardhan Shringla, hai woh ek dawn.

"
"Maratha quota activist Manoj Jarange-Patil said on Thursday that he was ready to hold a discussion with Maharashtra Chief Minister Eknath Shinde and Deputy Chief Ministers Devendra Fadnavis and Ajit Pawar. Jarange-Patil made the statement after the Maratha Reservation Morcha, which is headed to Mumbai, reached Lonavala on Thursday.","(Verse 1)
Manoj Jarange-Patil, Maratha quota ka warrior,
Thursday ko bola, discussion ka hai manorath.
Maharashtra ke CM Eknath Shinde,
Deputy CMs Fadnavis aur Ajit Pawar ke saath.

(Chorus)
Ready hai debate ke liye, Lonavala se Mumbai tak,
Maratha Reservation Morcha, hai yeh ek track.
Jarange-Patil ne kaha, hai woh ready,
CM aur Deputy CMs se, karein ek steady.

(Verse 2)
Morcha ne kaha, Mumbai ki taraf hai rasta,
Jarange-Patil, leke aaye hai ek vishesh sandesh.
Discussion ke liye, hai woh taiyaar,
CM aur Deputy CMs, se karenge baat saaf.

(Chorus)
Ready hai debate ke liye, Lonavala se Mumbai tak,
Maratha Reservation Morcha, hai yeh ek track.
Jarange-Patil ne kaha, hai woh ready,
CM aur Deputy CMs se, karein ek steady.

(Bridge)
Maratha Reservation ka voice, hai yeh strong,
Lonavala se Mumbai, hai yeh journey long.
Manoj Jarange-Patil, leke aaya hai raah,
CM aur Deputy CMs, karein ek saath.

(Chorus)
Ready hai debate ke liye, Lonavala se Mumbai tak,
Maratha Reservation Morcha, hai yeh ek track.
Jarange-Patil ne kaha, hai woh ready,
CM aur Deputy CMs se, karein ek steady."
"Towards the end of Salaar: Part 1   Ceasefire, Shruti Haasan s character brings the narrative to a screeching halt, throws her hands up in the air, and demands a drink because she can t keep up with what s going on. Hard relate. She s supposed to be our surrogate in this world, and almost the entire film is narrated to her in an extended flashback. Her cluelessness about the plot is the closest director Prashanth Neel comes to empathising with his audience, in what is otherwise a merciless assault on the senses that will either leave you sedated or completely delirious.","(Verse 1)
Salaar: Part 1 mein, end ki taraf hai raaste,
Ceasefire ka scene, Shruti Haasan ke saath.
Narrative ko lekar, kuch toh hai baat,
Character hai clueless, plot mein hai raaz.

(Chorus)
Shruti Haasan, demand karti hai drink,
Kyun ki samajh nahi aata, kya hai yeh link.
Director Prashanth Neel, karta hai connect,
Empathizing audience se, hai woh perfect.

(Verse 2)
Salaar ki duniya mein, extended flashback,
Narrative hai complex, kuch bhi track.
Shruti Haasan, hamare surrogate,
Plot mein hai lost, kyun ki hai woh mute.

(Chorus)
Shruti Haasan, demand karti hai drink,
Kyun ki samajh nahi aata, kya hai yeh link.
Director Prashanth Neel, karta hai connect,
Empathizing audience se, hai woh perfect.

(Bridge)
Hard relate hai, jab narrative gets tough,
Senses assault karta, yeh hai woh bluff.
Sedated ya delirious, hai yeh scene,
Salaar ki duniya, kuch bhi nahi clean.

(Chorus)
Shruti Haasan, demand karti hai drink,
Kyun ki samajh nahi aata, kya hai yeh link.
Director Prashanth Neel, karta hai connect,
Empathizing audience se, hai woh perfect."
